time	V(vout)	V(vpre)
1.016272907196636e-005	-2.800642e-005	0.000000e+000
1.018454185606731e-005	-2.891982e-005	0.000000e+000
1.020000000000000e-005	-2.959855e-005	0.000000e+000
1.020100000000000e-005	-2.964306e-005	5.241016e-013
1.020110000000000e-005	-2.964752e-005	1.800000e-001
1.020130000000000e-005	-2.965643e-005	5.400000e-001
1.020135000000000e-005	-2.965866e-005	6.300000e-001
1.020145000000000e-005	-2.966312e-005	8.100000e-001
1.020147500000000e-005	-2.966424e-005	8.550000e-001
1.020148125000000e-005	-2.966452e-005	8.662500e-001
1.020149375000000e-005	-2.966507e-005	8.887500e-001
1.020149687500000e-005	-2.966521e-005	8.943750e-001
1.020150312500000e-005	-2.966549e-005	9.056250e-001
1.020151562500000e-005	-2.966605e-005	9.281250e-001
1.020154062500000e-005	-2.966716e-005	9.731250e-001
1.020159062500000e-005	-2.966939e-005	1.063125e+000
1.020169062500000e-005	-2.967385e-005	1.243125e+000
1.020180000000000e-005	-2.967872e-005	1.440000e+000
1.020200000000000e-005	-2.968764e-005	1.800000e+000
1.020492285714285e-005	-2.981848e-005	1.800000e+000
1.020784571428571e-005	-2.994973e-005	1.800000e+000
1.021076857142856e-005	-3.008140e-005	1.800000e+000
1.021369142857141e-005	-3.021347e-005	1.800000e+000
1.021661428571426e-005	-3.034596e-005	1.800000e+000
1.021953714285711e-005	-3.047885e-005	1.800000e+000
1.022245999999996e-005	-3.061217e-005	1.800000e+000
1.024293999999993e-005	-3.154629e-005	1.800000e+000
1.028389999999986e-005	-3.338022e-005	1.800000e+000
1.036581999999971e-005	-3.680910e-005	1.800000e+000
1.046347624999971e-005	-4.036778e-005	1.800000e+000
1.056113249999971e-005	-4.321700e-005	1.800000e+000
1.065878874999971e-005	-4.532020e-005	1.800000e+000
1.075644499999971e-005	-4.672128e-005	1.800000e+000
1.085410124999971e-005	-4.745931e-005	1.800000e+000
1.095175749999971e-005	-4.754361e-005	1.800000e+000
1.104941374999971e-005	-4.695290e-005	1.800000e+000
1.114706999999971e-005	-4.564519e-005	1.800000e+000
1.124472624999971e-005	-4.357013e-005	1.800000e+000
1.134238249999970e-005	-4.067955e-005	1.800000e+000
1.144003874999970e-005	-3.693447e-005	1.800000e+000
1.153769499999970e-005	-3.230861e-005	1.800000e+000
1.163535124999970e-005	-2.678912e-005	1.800000e+000
1.173300749999970e-005	-2.037562e-005	1.800000e+000
1.183066374999970e-005	-1.307819e-005	1.800000e+000
1.192831999999970e-005	-4.915266e-006	1.800000e+000
1.202597624999970e-005	4.088470e-006	1.800000e+000
1.222128874999970e-005	2.449823e-005	1.800000e+000
1.251425749999970e-005	6.060349e-005	1.800000e+000
1.273747178571398e-005	9.300999e-005	1.800000e+000
1.296068607142827e-005	1.272418e-004	1.800000e+000
1.318390035714255e-005	1.632991e-004	1.800000e+000
1.340711464285684e-005	2.011817e-004	1.800000e+000
1.363032892857112e-005	2.408896e-004	1.800000e+000
1.385354321428540e-005	2.824229e-004	1.800000e+000
1.407675749999969e-005	3.257816e-004	1.800000e+000
1.442552982142826e-005	3.946812e-004	1.800000e+000
1.477430214285683e-005	4.623211e-004	1.800000e+000
